course_name,institution,institution_type,level,skills,description,url,duration,fees,prerequisites,entry_requirements,url_raw,url_invalid,url_duplicate
Diploma in Media Arts & Design (Sound & Music),Singapore Polytechnic,Poly,Diploma,"visual communication, UX design, branding","Develops skills in design thinking, visual storytelling, and user experience design.",https://www.sp.edu.sg/courses/schools/mad/sound-and-music,Nil,Nil,Nil,Nil,https://www.sp.edu.sg/courses/schools/mad/sound-and-music,False,False
Diploma in Business Administration,Singapore Polytechnic,Poly,Diploma,"business operations, marketing, management","Introduces business fundamentals with a focus on management, marketing, and enterprise skills.",https://www.sp.edu.sg/courses/schools/sb/business-administration,Nil,Nil,Nil,Nil,https://www.sp.edu.sg/courses/schools/sb/business-administration,False,False
Diploma in AI & Data Engineering,Nanyang Polytechnic,Poly,Diploma,"artificial intelligence, data analytics, machine learning, python","Trains students in AI technologies, data processing, and analytics for modern digital industries.",https://www.nyp.edu.sg/student/study/schools/engineering/diploma-AI-data-engineering,Nil,Nil,Nil,Nil,https://www.nyp.edu.sg/student/study/schools/engineering/diploma-AI-data-engineering,False,False
Diploma in Cybersecurity & Digital Forensics,Nanyang Polytechnic,Poly,Diploma,"cybersecurity, ethical hacking, network security",Focuses on securing digital systems through ethical hacking and forensic investigation techniques.,https://www.nyp.edu.sg/student/study/schools/information-technology/diploma-cybersecurity-digital-forensics,Nil,Nil,Nil,Nil,https://www.nyp.edu.sg/student/study/schools/information-technology/diploma-cybersecurity-digital-forensics,False,False
Diploma in Business Management,Nanyang Polytechnic,Poly,Diploma,"management, entrepreneurship, business strategy",Develops leadership and business skills for entrepreneurship and corporate environments.,https://www.nyp.edu.sg/student/study/schools/business-management/diploma-business-management,Nil,Nil,Nil,Nil,https://www.nyp.edu.sg/student/study/schools/business-management/diploma-business-management,False,False
Diploma in Interaction Design,Nanyang Polytechnic,Poly,Diploma,"UI design, UX research, prototyping","Equips students with skills in user interface design, user research, and digital prototyping.",https://sdm-gradshow.nyp.edu.sg/Interaction-Design,Nil,Nil,Nil,Nil,https://sdm-gradshow.nyp.edu.sg/Interaction-Design,False,False
Diploma in Financial Technology,Republic Polytechnic,Poly,Diploma,"fintech, blockchain, data analytics, finance",Combines finance and technology to prepare students for careers in fintech and digital financial services.,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-financial-technology,Nil,Nil,Nil,Nil,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-financial-technology,False,False
Diploma in Digital Design & Development,Republic Polytechnic,Poly,Diploma,"web design, UX, front-end development","Covers digital product design, user experience, and front-end development skills.",https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-digital-design-and-development,Nil,Nil,Nil,Nil,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-digital-design-and-development,False,False
Diploma in Information Technology,Republic Polytechnic,Poly,Diploma,"software development, cloud computing, IT systems",Provides practical IT training using problem-based learning approaches.,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-information-technology,Nil,Nil,Nil,Nil,https://www.rp.edu.sg/soi/full-time-diplomas/details/diploma-in-information-technology,False,False
Bachelor of Computing (Computer Science),NUS,Local University,Degree,"algorithms, software engineering, artificial intelligence, data structures","Provides strong foundations in computer science including algorithms, AI, and large-scale software systems.",https://www.comp.nus.edu.sg/programmes/ug/cs/,Nil,Nil,Nil,Nil,https://www.comp.nus.edu.sg/programmes/ug/cs/,False,False
Bachelor of Business Administration,NUS,Local University,Degree,"business strategy, finance, marketing, management","Focuses on business fundamentals, strategic thinking, and leadership development.",https://bba.nus.edu.sg/,Nil,Nil,Nil,Nil,https://bba.nus.edu.sg/,False,False
Bachelor of Engineering (Electrical Engineering),NUS,Local University,Degree,"electronics, circuits, signal processing, engineering design",Covers core engineering principles with applications in electronics and intelligent systems.,https://cde.nus.edu.sg/ece/undergraduate/,Nil,Nil,Nil,Nil,https://cde.nus.edu.sg/ece/undergraduate/,False,False
Bachelor of Arts (Communications and New Media),NUS,Local University,Degree,"media studies, digital communication, content strategy","Explores digital media, communication theory, and interactive media practices.",https://fass.nus.edu.sg/cnm/,Nil,Nil,Nil,Nil,https://fass.nus.edu.sg/cnm/,False,False
Bachelor of Computing (Artificial Intelligence),NUS,Local University,Degree,"artificial intelligence, machine learning, neural networks, natural language processing","Builds strong foundations in AI concepts and techniques, with practical exposure to building AI-enabled applications.",https://www.comp.nus.edu.sg/programmes/ug/ai/,Nil,Nil,Nil,Nil,https://www.comp.nus.edu.sg/programmes/ug/ai/,False,False
Bachelor of Computing (Information Security),NUS,Local University,Degree,"cybersecurity, cryptography, secure systems, network security","Trains students to design and secure systems, covering core security concepts like cryptography and secure software.",https://www.comp.nus.edu.sg/programmes/ug/isc/,Nil,Nil,Nil,Nil,https://www.comp.nus.edu.sg/programmes/ug/isc/,False,False
Bachelor of Science in Business Analytics (with Honours),NUS,Local University,Degree,"business analytics, data science, statistics, decision-making",Interdisciplinary programme combining analytics and computing to extract insights and support data-driven decisions.,https://www.comp.nus.edu.sg/programmes/ug/ba/,Nil,Nil,Nil,Nil,https://www.comp.nus.edu.sg/programmes/ug/ba/,False,False
Bachelor of Computing (Business Artificial Intelligence Systems),NUS,Local University,Degree,"artificial intelligence, data, business systems, digital transformation","Integrates computing and business to design, implement, and manage AI systems for organisations and digital transformation.",https://www.comp.nus.edu.sg/programmes/ug/bais/,Nil,Nil,Nil,Nil,https://www.comp.nus.edu.sg/programmes/ug/bais/,False,False
Computer Engineering,NUS,Local University,Degree,"computer engineering, hardware, software, embedded systems, systems design",Covers both hardware and software foundations for designing computing systems.,https://www.comp.nus.edu.sg/programmes/ug/ceg/,Nil,Nil,Nil,Nil,https://www.comp.nus.edu.sg/programmes/ug/ceg/,False,False
Bachelor of Computer Science,NTU,Local University,Degree,"programming, algorithms, artificial intelligence, machine learning","Focuses on software development, algorithms, and AI-driven computing systems.",https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-computer-science,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-computer-science,False,False
Bachelor of Business,NTU,Local University,Degree,"business analytics, finance, management, entrepreneurship",Provides a broad-based business education with analytical and strategic skills.,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-business,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-business,False,False
Bachelor of Engineering (Computer Engineering),NTU,Local University,Degree,"hardware, software, embedded systems, networking",Combines computer hardware and software design for intelligent systems.,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-computer-engineering,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-computer-engineering,False,False
Bachelor of Fine Arts (Media Art),NTU,Local University,Degree,"digital media, creative coding, interactive art",Focuses on creative media practices using digital and interactive technologies.,https://www.ntu.edu.sg/adm/programmes/undergraduate-programmes/bachelor-of-fine-arts-in-media-art,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/adm/programmes/undergraduate-programmes/bachelor-of-fine-arts-in-media-art,False,False
Bachelor of Accountancy,NTU,Local University,Degree,"accounting, finance, data analytics, automation",Accountancy degree with emphasis on analytics and digital skills to meet modern accounting and business needs.,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-accountancy,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-accountancy,False,False
Bachelor of Accountancy with Minor in Digitalisation and Data Analytics (DDA),NTU,Local University,Degree,"accounting, data analytics, digitalisation, business technology",Accountancy programme with additional coursework in digitalisation and analytics to strengthen tech-enabled accounting skills.,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-accountancy-with-minor-in-digitalisation-and-data-analytics-%28dda%29,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-accountancy-with-minor-in-digitalisation-and-data-analytics-%28dda%29,False,False
Bachelor of Communication Studies,NTU,Local University,Degree,"communication, media, journalism, strategic communication","Communication degree covering traditional and new media, with options to focus on areas such as strategic communication or journalism.",https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-communication-studies,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-communication-studies,False,False
Bachelor of Communication Studies with Second Major in Governance and International Relations,NTU,Local University,Degree,"communication, public policy, governance, international relations",Combines communication studies with governance and international relations.,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-communication-studies-with-second-major-in-governance-and-international-relations,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-communication-studies-with-second-major-in-governance-and-international-relations,False,False
Bachelor of Computing (Hons) in Artificial Intelligence & Society,NTU,Local University,Degree,"artificial intelligence, ethics, policy, responsible AI","Explores AI systems alongside societal impact, ethics, and responsible AI adoption.",https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-computing-hons-in-artificial-intelligence-and-society,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-computing-hons-in-artificial-intelligence-and-society,False,False
Double Degree in Accountancy and Science (Data Science & AI),NTU,Local University,Degree,"accountancy, data science, artificial intelligence, analytics",Double degree combining accountancy with data science and AI training.,https://www.ntu.edu.sg/education/undergraduate-programme/double-degree-in-accountancy-and-science,Nil,Nil,Nil,Nil,https://www.ntu.edu.sg/education/undergraduate-programme/double-degree-in-accountancy-and-science,False,False
Bachelor of Science in Data Science and Artificial Intelligence,NTU,Local University,Degree,"data science, machine learning, artificial intelligence, programming","Focuses on data science and AI foundations, including machine learning methods.",https://scse.ntu.edu.sg/Programmes/CurrentStudents/Undergraduate/Pages/DSAI.aspx,Nil,Nil,Nil,Nil,https://scse.ntu.edu.sg/Programmes/CurrentStudents/Undergraduate/Pages/DSAI.aspx,False,False
Bachelor of Science (Information Systems),SMU,Local University,Degree,"information systems, data analytics, digital transformation, software development","Bridges business and technology through systems design, analytics, and digital solutions.",https://computing.smu.edu.sg/bsc-information-systems,Nil,Nil,Nil,Nil,https://computing.smu.edu.sg/bsc-information-systems,False,False
Bachelor of Business Management,SMU,Local University,Degree,"management, marketing, finance, leadership",Emphasises interactive learning and practical business decision-making.,https://business.smu.edu.sg/bachelor-business-management,Nil,Nil,Nil,Nil,https://business.smu.edu.sg/bachelor-business-management,False,False
Bachelor of Science (Economics),SMU,Local University,Degree,"economics, data analysis, policy analysis",Develops analytical and quantitative skills for economic decision-making.,https://economics.smu.edu.sg/bachelor-science-economics,Nil,Nil,Nil,Nil,https://economics.smu.edu.sg/bachelor-science-economics,False,False
Bachelor of Laws,SMU,Local University,Degree,"law, legal analysis, ethics",Provides rigorous legal training with a focus on business and commercial law.,https://law.smu.edu.sg/llb,Nil,Nil,Nil,Nil,https://law.smu.edu.sg/llb,False,False
Bachelor of Science (Computer Science),SMU,Local University,Degree,"computer science, software development, cybersecurity, artificial intelligence",Develops strong computing and software skills to build solutions.,https://computing.smu.edu.sg/bsc-computer-science,Nil,Nil,Nil,Nil,https://computing.smu.edu.sg/bsc-computer-science,False,False
Bachelor of Science (Computing & Law),SMU,Local University,Degree,"computing, law, legal technology, governance",Interdisciplinary programme combining computing and legal training.,https://computing.smu.edu.sg/bsc-computing-law,Nil,Nil,Nil,Nil,https://computing.smu.edu.sg/bsc-computing-law,False,False
Bachelor of Engineering (Computer Science and Design),SUTD,Local University,Degree,"computer science, design thinking, programming, artificial intelligence",Integrates computing with design methodologies to solve real-world problems.,https://www.sutd.edu.sg/istd/education/undergraduate/curriculum/,Nil,Nil,Nil,Nil,https://www.sutd.edu.sg/istd/education/undergraduate/curriculum/,False,False
Bachelor of Engineering (Engineering Systems and Design),SUTD,Local University,Degree,"systems engineering, optimisation, data-driven design",Focuses on large-scale systems thinking and interdisciplinary problem-solving.,https://www.sutd.edu.sg/esd/education/undergraduate,Nil,Nil,Nil,Nil,https://www.sutd.edu.sg/esd/education/undergraduate,False,False
Bachelor of Science (Architecture and Sustainable Design),SUTD,Local University,Degree,"architecture, sustainability, design innovation",Combines architectural design with sustainability and technology.,https://www.sutd.edu.sg/asd/education/undergraduate,Nil,Nil,Nil,Nil,https://www.sutd.edu.sg/asd/education/undergraduate,False,False
Bachelor of Science (Artificial Intelligence),SUTD,Local University,Degree,"artificial intelligence, machine learning, data science",Provides strong foundations in AI theory and applications.,https://www.sutd.edu.sg/dai/education/undergraduate,Nil,Nil,Nil,Nil,https://www.sutd.edu.sg/dai/education/undergraduate,False,False
Bachelor of Science (Computing Science),SIT,Local University,Degree,"software development, programming, applied computing",Industry-focused computing programme with applied learning experiences.,https://www.singaporetech.edu.sg/undergraduate-programmes/computing-science,Nil,Nil,Nil,Nil,https://www.singaporetech.edu.sg/undergraduate-programmes/computing-science,False,False
Bachelor of Engineering (Information and Communications Technology),SIT,Local University,Degree,"networks, cybersecurity, systems administration",Focuses on practical ICT skills aligned with industry needs.,https://www.singaporetech.edu.sg/undergraduate-programmes/information-and-communications-technology,Nil,Nil,Nil,Nil,https://www.singaporetech.edu.sg/undergraduate-programmes/information-and-communications-technology,False,False
Bachelor of Accountancy,SIT,Local University,Degree,"accounting, auditing, finance",Industry-relevant accountancy education with applied training.,https://www.singaporetech.edu.sg/undergraduate-programmes/accountancy,Nil,Nil,Nil,Nil,https://www.singaporetech.edu.sg/undergraduate-programmes/accountancy,False,False
Bachelor of Science (Digital Supply Chain),SIT,Local University,Degree,"supply chain management, analytics, logistics",Focuses on digital transformation of supply chains using data and technology.,https://www.singaporetech.edu.sg/undergraduate-programmes/digital-supply-chain,Nil,Nil,Nil,Nil,https://www.singaporetech.edu.sg/undergraduate-programmes/digital-supply-chain,False,False
Bachelor of Science (Information and Communication Technology),SUSS,Local University,Degree,"information technology, systems development, networking",Focuses on ICT skills with applied learning for working professionals and students.,https://www.suss.edu.sg/programmes/detail/bsc-information-and-communication-technology,Nil,Nil,Nil,Nil,https://www.suss.edu.sg/programmes/detail/bsc-information-and-communication-technology,False,False
Bachelor of Science (Business Analytics),SUSS,Local University,Degree,"data analytics, statistics, business intelligence",Equips students with analytical skills for data-driven business decision-making.,https://www.suss.edu.sg/programmes/detail/bsc-business-analytics,Nil,Nil,Nil,Nil,https://www.suss.edu.sg/programmes/detail/bsc-business-analytics,False,False
Bachelor of Accountancy,SUSS,Local University,Degree,"accounting, finance, auditing",Provides a strong foundation in accounting and financial reporting with practical applications.,https://www.suss.edu.sg/programmes/detail/bacc,Nil,Nil,Nil,Nil,https://www.suss.edu.sg/programmes/detail/bacc,False,False
Bachelor of Science (Marketing),SUSS,Local University,Degree,"marketing strategy, consumer behaviour, digital marketing","Focuses on marketing principles, consumer insights, and digital marketing practices.",https://www.suss.edu.sg/programmes/detail/bsc-marketing,Nil,Nil,Nil,Nil,https://www.suss.edu.sg/programmes/detail/bsc-marketing,False,False
Bachelor of Accountancy (Full-time),SUSS,Local University,Degree,"accounting, auditing, finance, business reporting",Full-time accountancy degree covering core accounting competencies and business reporting skills.,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-accountancy,Nil,Nil,Nil,Nil,https://www.suss.edu.sg/programmes/detail/ft-bachelor-of-accountancy,False,False
Bachelor of Science (Honours) in Computer Science,SIM Global Education,Private University,Degree,"computer science, software engineering, algorithms, programming",Covers core computer science foundations and practical software development skills delivered in Singapore.,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-computer-science,Nil,Nil,Nil,Nil,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-computer-science,False,False
Bachelor of Science (Honours) in Computer Science (Machine Learning and Artificial Intelligence),SIM Global Education,Private University,Degree,"machine learning, artificial intelligence, mathematics, programming",Focuses on building ML/AI foundations and applying them to real-world computing problems.,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-computer-science-machine-learning-and-artificial-intelligence,Nil,Nil,Nil,Nil,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-computer-science-machine-learning-and-artificial-intelligence,False,False
Bachelor of Science (Honours) Data Science and Business Analytics,SIM Global Education,Private University,Degree,"data science, statistics, machine learning, business analytics",Builds statistical and machine learning skills for data-driven decision-making and analytics.,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-data-science-and-business-analytics,Nil,Nil,Nil,Nil,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-data-science-and-business-analytics,False,False
Bachelor of Computer Science (Game and Mobile Development),SIM Global Education,Private University,Degree,"computer science, mobile development, game development, software engineering",Combines core computing fundamentals with skills for game and mobile application development.,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-computer-science-game-and-mobile-development,Nil,Nil,Nil,Nil,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-computer-science-game-and-mobile-development,False,False
Bachelor of Science (Honours) Business Management with Communications and Year in Industry (Top-up),SIM Global Education,Private University,Degree,"business management, marketing, communications, industry placement",A business top-up pathway integrating communications skills and an extended industry placement component.,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-business-management-communications-and-year-in-industry-top-up,Nil,Nil,Nil,Nil,https://www.sim.edu.sg/degrees-diplomas/programmes/programme-listing/bachelor-of-science-honours-business-management-communications-and-year-in-industry-top-up,False,False
Bachelor of Information Technology in Computer Science (Single Major),Kaplan Singapore,Private University,Degree,"programming, algorithms, software design, computer science",Murdoch University programme delivered in Singapore focusing on core computer science and IT foundations.,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-computer-science-single-major,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-computer-science-single-major,False,False
Bachelor of Information Technology in Business Information Systems (Single Major),Kaplan Singapore,Private University,Degree,"business systems, databases, systems analysis, IT management",Murdoch University programme blending IT fundamentals with business information systems concepts.,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-business-information-systems-single-major,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-business-information-systems-single-major,False,False
Bachelor of Information Technology in Artificial Intelligence and Autonomous Systems (Single Major),Kaplan Singapore,Private University,Degree,"artificial intelligence, autonomous systems, programming, data",Murdoch University programme covering AI concepts and autonomous-system related skills.,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-artificial-intelligence-and-autonomous-systems-single-major,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-artificial-intelligence-and-autonomous-systems-single-major,False,False
Bachelor of Information Technology in Cyber Security and Forensics (Single Major),Kaplan Singapore,Private University,Degree,"cybersecurity, digital forensics, network security, incident response",Murdoch University programme delivered in Singapore focusing on cyber security principles and forensics fundamentals.,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-cyber-security-and-forensics-single-major,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-information-technology-in-cyber-security-and-forensics-single-major,False,False
Bachelor of Data Analytics in Business Intelligence,Kaplan Singapore,Private University,Degree,"data analytics, business intelligence, data visualisation, decision-making",Builds analytics and BI skills for interpreting data and supporting business decisions.,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-data-analytics-in-business-intelligence,Nil,Nil,Nil,Nil,https://www.kaplan.com.sg/bachelors-degree/bachelor-of-data-analytics-in-business-intelligence,False,False
